Name,Rating,Review Title,Review Date,Review Content
Sikander,5.0 out of 5 stars,Great product but check which version of paper white you're buying!,Reviewed in the United Kingdom on 11 March 2020,"I upgraded to this kindle because I liked the sound of it being waterproof and my old paper white had got pretty bashed around over time. The first thing I noticed was that the form factor is similar to before but a little bit slimmer and easier to hold – so far so good. However, as soon as I started using the device I was getting bombarded with advertising for stuff I'm never going to buy. I realise now that this is what the “with Special Offers” tag means in the product title – every time you switch the kindle off or on you get hit with annoying adverts on the sleep screen.It's really wasn't made clear before purchasing that if you buy this version you're signing up to getting spammed for the life of the product. Amazon, you need to fix this and communicate more clearly about it! If I'd known, I would've paid a bit extra to avoid this. You've made a previously very satisfied user really unhappy. As it is, my reading experience is so compromised I'm probably going back to my faithful old kindle with it's battered screen. The irony is,  I can't rate it higher than one star and apart from the spam, it's a good product…UPDATE – Amazon customer service contacted me within hours of writing this review and have removed the Special Offers, so no more adverts! Thanks Amazon, have adjusted the number of stars to reflect the product accordingly!"
lubilu,5.0 out of 5 stars,Anywhere Access to your favourite books,Reviewed in the United Kingdom on 8 January 2021,"Having used Kindle books for a long while now....albeit on a ( PC at first , then a 7 inch and later 10 inch Tablet ) the obvious- biggest disadvantage with ALL portable screens is their reflectiveness , making reading in any sunlight virtually impossible .All that was ""fixed"" by the proper e-book-ink - non-reflective  screen of this KINDLE device.  Retrospectively I wish I`d opted for a Kindle Paperwhite  SOOONER.....!"
jenny g,5.0 out of 5 stars,Fantastic product and service by Amazon,Reviewed in the United Kingdom on 11 April 2019,"what a fantastic gadget and one I thought I'd never get having always enjoyed books.  It is fantastic and has a big storage facility.  I'm looking forward to taking it away on my holidays this year.  So much easier than packing lots of books!  I did have a problem with the screen freezing on the first one I bought but Amazon couldn't have been more helpful.  After following various procedures and Amazon realising it wasn't just a temporary hiccup, I was immediately sent a new one and then returned the faulty one free of charge.  This one has been perfect and is full of books waiting for me to read."
Ray Woodward,4.0 out of 5 stars,The best Kindle yet,Reviewed in the United Kingdom on 11 July 2020,"I've been a long time user of Kindles from the two pre-screen keyboard, and the joystick and paddle versions through to the earliest touchscreen model which has been solid and reliable for many many years. So what makes this Kindle worth the upgrade?The first is the Bluetooth Audio connection. Listening to audiobooks as well as reading has become almost daily routines with Audible making journeys as well as sitting at home playing music through headphones and Hi-Fi simple and easy.The second is that it's finally OK to read while relaxing in the bath without the risk of dosing off and… well you can guess the rest.The nicest part though is the usability. The interface feels more accurate and responsive. Previously I found the touchscreen mildly annoying with swipes on the main screen being mistaken for book selections (and vice versa) and menus being slow to respond to inputs. The new screen is very easy on the eye especially at night and the older model's screen seems greener than the comparatively pure white. It also performs better in both brightly lit and dark environments and infinitely less tiring on the eye than a laptop screen, opted for the 32GB model to accommodate my rather ridiculous number of books and audiobooks I like to have to hand: there are so many out-of-copyright non-DRM .mobi formatted classic Victorian and 20th Century books available that are a pleasure to enjoy alongside the simply huge number of Kindle formatted books to borrow and buy.AccessoriesI recommend getting a case (I went with a grey Amazon cloth covered waterproof case - the experience in terms of size and weight is that of a small-midsize paperback - with the added advantage it switches on when the cover is opened and it's firmly held shut and turns off when you close it (the magnets in the cover also keep the front cover firmly attached to the back of the case, and therefore out of the way, after it's open.I've stuck with Kindle from the outset and even though I have checked out competitors' products I've always found  the Kindle Paper-white to have a superior feel.There are two reasons that I don't give this Kindle a full 5 star rating. Firstly is their continued closed-market approach with incompatibility with pretty much anything but the proprietary format Kindle books and .mobi formatted (non-DRM) books, making it impossible to read even the open standard .epub format books widely available, or even directly loading PDF documents which verges on the ridiculous.The second issue is not choosing a form-factor and sticking to it. My older Kindles remain in use or have been donated to charities - I don't like the increased consumer waste resulting from tweaking the size and shape of Kindles resulting in the huge increase in associated wasted materials consumed with needing to buy new cases every time I buy a new device. That said the packaging is recyclable.I hope this helps you weigh up the pros and cons of buying this waterproof Kindle PaperWhite and associated cover. Overall it's a great device having the ability to take a literal library of books anywhere in something the size of a small paperback is something I use daily."
Mrs. J. S. Harrold,3.0 out of 5 stars,Slimmer and lighter but not as easy to navigate,Reviewed in the United Kingdom on 14 March 2019,"I like the weight and size of the new kindle, it’s excellent for carrying about with me and the back light is a very good feature, better than the one included in the cover of my old kindle and to be honest if I’d never had a kindle before I would probably have rated it 5 stars.  I haven’t though as my old kindle was so much easier, quicker and better to navigate. All my books once read were filed in collections, by author,  (which incidentally haven’t successfully transferred to this new one) so my home page listed the collections followed by the books I’d yet to read (whether they were bought, prime reading or borrowed from the library) and any samples I might have.  On my new kindle all my books are there individually and I have to trawl through several hundred to try and find what I haven’t read or want to read. This is time consuming and extremely irritating especially when scrolling up I keep opening books I don’t want to and have to keep going back. It was a much simpler and quicker system (seconds rather than several frustrating minutes) on the old kindle and far less stressful. In fact I’ve been referring back to my old kindle to identify what I’m looking for and/or checking on contents and devices to see what I’ve most recently acquired.  This does outweigh the good but I will persevere as I love my kindle reading and do want to embrace this new lighter, slimmer model but I am disappointed that some of the changes certainly take away from the customer experience unfortunately probably in favour of cutting costs."
Joy,5.0 out of 5 stars,Converted !,Reviewed in the United Kingdom on 27 February 2020,"I'm a convert ! I've resisted e-readers for ages, preferring physical books.While I still love the feel and experience of a book, this is so convenient.It's easy to carry around, and fits more than enough books ( I bought the 8 GB).The screen is so easy on the eye, and you can take it literally anywhere !I had the Kindle app for a few years,  but it used to hurt my eyes after using it. That was another reason I didn't buy a Kindle.Brilliant !"
MRS D REID,3.0 out of 5 stars,So-so,Reviewed in the United Kingdom on 2 February 2019,"I’m not necessarily knocking this e-reader but I’ve had 4 kindles previously. The original keyboard one, the basic side buttons one, a kindle fire and the original paper white. My husband bought me this as an upgrade to the previous kindle paper white. The only part that separates this from my other paper white is the waterproof part. The battery life is actually worse. The on/off button on the bottom means you actually knock it off whilst in the middle of reading.All in all if this is your first kindle you’ll probably love it. If you’re thinking of upgrading from the old paperwhite, just buy a waterproof case from Amazon."
D. Eves,5.0 out of 5 stars,Perfect,Reviewed in the United Kingdom on 20 November 2018,"As a frequent traveller this is a great device. Light and small to hold. The backlight is activated automatically which means I can now read at nigh on a sleeper train without the need to hold a book and wear a head torch. The additional of audiobooks is logical and the connection to WiFi and Bluetooth is easy. I spent the extra £10 to remove the special offers though these weren’t that intrusive. Battery time is excellent. Furthermore, I realise my reading has increased as the Kindle offers just two options to read or listen. This avoids the iPad issue of multiple app choices which can lend itself to drifting from one option to another without finishing anything."
Patrick W,1.0 out of 5 stars,"Good device, but just over a year in, battery won't charge",Reviewed in the United Kingdom on 22 April 2020,"I'd like to add another buyer-beware review in terms of product durability. The device itself is a good one, but shortly after a year of surprisingly quick decaying battery life, the device will no longer charge at all, rendering it useless. It would be cynical to point out this has happened just after replacement warranty ran out, but the battery life has been getting shorter and shorter almost from purchase. If you're thinking about buying one, be aware you might need to buy another one a lot sooner than you'd like."
val,4.0 out of 5 stars,My kindle updated,Reviewed in the United Kingdom on 13 November 2018,"Slightly smaller than my last one so I had to purchase a new cover. I have had a few issues with the page changes, sometimes I need to tap more than once to go to next page, on occasion this has resulted in multiple pages being turned and I have had to search for the page I was reading. I will be monitoring this issue and contacting Amazon if it happens more often."
Sooo,5.0 out of 5 stars,Very easy to read and use any time of day - love it,Reviewed in the United Kingdom on 4 November 2019,"I'll still read paper books, but love this Kindle.. Very easy to read and use and very light.  Can read on lower light when needed so you're not disturbing anyone if you are a late night/ early morning reader.  Love the dictionary option - quick check into a thesaurus or dictionary for any more obscure words the author may have used.Has been great to be able to share books and browse new ones.  Love it!Can also recommend buying an auto switch off case - just flip the cover over to use or close your 'book'"
Prooro,4.0 out of 5 stars,No headphone socket but great to read in the sun...,Reviewed in the United Kingdom on 7 July 2019,Brilliant to sit in the sun and read with but for the money I felt the overall quality wasn’t as good as I’d expected. Very slow and interface feels old fashioned compared to a phone but it does what I bought it for well ie sit and read outdoors without any glare. Unfortunately it doesn’t have a socket for headphones so although it promotes itself on being able to access Audible it only does it through Bluetooth and I don’t have any Bluetooth headphones to pair with. It is easy to hold but I bought a cover which acts as a stand so I don’t even have to hold it.
angela,1.0 out of 5 stars,First kindle lasted 6 months,Reviewed in the United Kingdom on 10 October 2020,"It stopped working after 6 months so had to be replaced by currys shop where I purchased if from....hopefully 2and one will last longer.It wasnt used much either, the battery sign was empty and massive exclamation mark on screen... in googling it...said battery not engaging with kindle...."
Eddie Bates,5.0 out of 5 stars,Any Book at Your Fingertips,Reviewed in the United Kingdom on 13 October 2020,"I am very pleased with this purchase.  I have always enjoyed reading books of all sorts of genres, and with the kindle, I am now able to access any book I require almost at the touch of a button.  I am able to adjust the font, brightness, layout, etc to whatever is required at the time and, all in all, the convenience and adaptability of the kindle outweighs the feel and look of an actual book.  The kindle is a quality item and good value for money."
Teresa Alliband,3.0 out of 5 stars,No sepia option,Reviewed in the United Kingdom on 24 November 2018,"Having had my lovely kindle with keyboard for many years, the screen broke when abroad recently I decided to get the new paper white. It is nice and compact and lovely to be able to read anywhere as it has the light option but a big drawback is that it does not have the option to change the page colour to sepia, which is what I normally have my devices with backlights set to, which is less harsh on the eye. This is disappointing as it does state you can change the colour of the page but this only has the option to change to black with white writing."
elaine page,2.0 out of 5 stars,"small screen, have to turn page to much",Reviewed in the United Kingdom on 7 May 2020,"Bought this to replace my old kindle which I'd had for years, wish I had taken more time in choosing a replacement, this feels really flimsy and cheap, also its my own fault but wish I hadent bought a 6 inch one, seems hardly any story on the page before you have to turn over, and turning the page is a hit and miss affair, with hindsight wish as soon as I'd received this kindle I had sent it straight back, for someone having their first kindle I guess it may be fine, or for a child would probably be good because it's really light, though to me it feels cheap and plastic like, and I do not like the home page layout, not conceise like my old one even though I paid the extra for no specialsAll in all so wish I had not purchased this kindle, and bought another kindle fire"
Jane Doe,4.0 out of 5 stars,New Kindle Paperwhite,Reviewed in the United Kingdom on 28 November 2018,In the first week of using it it crashed three times - garbled nonsense.  Fortunately it righted itself after restarting it each time and hasn't had a recurrence since - touch wood!  The main menu (listing books) is much lighter than my old version which is not so good for those with glasses and I am slightly annoyed over the fact that it seems necessary to tick each book as and when I read it - I know when I've read a book oddly enough.  Frankly I couldn't care a less about it being waterproof since I don't read it in the bath but I would like the ability to adjust it to my usage and if anyone knows how to alter the above two items I'd be most grateful.
Tony S,4.0 out of 5 stars,Great device that got me reading again!,Reviewed in the United Kingdom on 11 August 2019,"So, before I review the paperwhite, I'll share the reason I purchased it.I was on holiday & as always, dusted off my original Kindle (the original type with the keyboard at the bottom) so I had something to read whilst away.I started & finished Ant Middleton's autobiography & then reverted back to Damon Hill's autobiography on my second week.It was during the second week that I accidentally leant on my Kindle when getting up form the subbed. Instant cracked screen & worse still, stuck at 75% read when I was on track to read the remainder of the book before going home.Try as I might to read the rest using my phone, the screen was just too shiny to read in the sunlight next toileting the pool.As soon as we got home, I ordered the Paperwhite now that I was back into reading after a long break.I ordered it & the next day was the proud owner of a new Paperwhite, along with the Amazon case for it.Soon, I was reunited with Damon Hill's autobiography & before long it was completed.Now I can't put it down!Love the touch screen which is surprisingly responsive. As per my old Kindle, I love that I can read it in direct sunlight, but now also with the added peace of mind that this one is waterproof.Only reason I haven't given it 5 stars is a personal thing where I wish I had purchased the non-advert version.Small niggle, but otherwise a great device."
carb,3.0 out of 5 stars,Disappointed,Reviewed in the United Kingdom on 21 April 2019,"I was rather disappointed with my kindle, because it is black and white it is difficult to see the the front of the book and read its title and you cannot zoom in to look closer. I was also hoping that it would put the unread books handy to find and read without scrolling through pages of other books to find the ones you haven’t read yet. Another disappointment was the fact that I cannot get any other applications on the device apart from kindle books. I got a high GB one in order to relieve my IPad of space from all reading material but it won’t support epub or pdf. Yes very disappointed."
William R. Woods,4.0 out of 5 stars,New Kindle,Reviewed in the United Kingdom on 8 July 2020,I damaged my 1st kindle so this is a replacement. I don't think for somebody like me who doesn't always go for the latest model it is any better in fact I dislike the touch screen tho' my children tell me I'll get used to it. With the old one I could turn the page on or back from both sides of the screen which I found helpful. You can't on this one. I can sum up my feelings by saying that I will try & get the old one repaired.
belle23,5.0 out of 5 stars,Wow wow wow,Reviewed in the United Kingdom on 24 January 2020,I cannot recommend this paperwhite enough. I had the very 1st kindle released. It served me well till last year. I damaged the central vision in one eye. I found my original kindle too dark to read. I downloaded the kindle app onto my laptop. That was worse it was too bright so couldn't concentrate on the writing. So got my husband to buy me this for Christmas. Its amazing perfect brightness. Its so good I'm back to reading a book in 2 days. My eye doesn't get tired as it did. Cannot recommend this enough.
Sue Gough,5.0 out of 5 stars,Another Brilliant Kindle!,Reviewed in the United Kingdom on 16 January 2020,"I absolutely love my new Kindle Paperwhite.  It was bought as a Christmas present for me from my husband. My old one was getting a bit slow as it was quite old.  The new Kindle is  lighter than my original Kindle Paperwhite which is a bonus when carrying it around with me.  This new version is much faster to charge and holds its charge longer.  The new flat screen is great.  I also love the fact that it's waterproof so I will not have to worry about it getting splashed with water, especially whilst on holiday.  There's a few modifications to the old version but I believe these are for the better. All in all a brilliant Kindle."
joaidferg,5.0 out of 5 stars,Big improvement on older kindle's,Reviewed in the United Kingdom on 7 June 2019,"I have been using an original Kindle for many years, as in the very first type. I thought it was time for a change so went to the latest Paperwhite (2018) version.  I have to say I am very pleased with it. Touch screen is just right for sensitivity, navigation is SO MUCH EASIER. Some people bemoan the absence of actual buttons to turn the page, why? the page turning by a touch or flick is perfect. The only thing I would point out is that if, like me, you have the illumination turned up quite high, it does use up battery fairly fast. but charging is very fast. Overall a big thumbs up."
Lis,5.0 out of 5 stars,Excellent for holiday reading in the sunshine,Reviewed in the United Kingdom on 18 April 2019,"I have been using my kindle fire for holiday reading and listening, but found I could not see the screen in sunshine, so could not even access my audible stories, my old paper white kindle had worn out and did not support audible. So fed up when returned from holiday I ordered the new paper white which support audible, with blue tooth head phones I did my ironing in double time through listening to stories with no wires attached. I could even stay listening while putting it away. I have yet to try it in sunshine, but am sure it will perform just as well. If it does not I will be sure to report . Nice light item to put in handbag for holidays"
Kirsty,1.0 out of 5 stars,Do not buy!,Reviewed in the United Kingdom on 4 May 2020,I bought this kindle back in December as a chrismtas present for my husband after his previous kindle stopped being able to be charged. After reading the reviews I thought I would be able to trust that with this new version we would encounter no problems. Only 5 months down the line and again the kindle will not charge and won't turn on. I have followed several tutorials online on how to fix and nothing has worked. I'm devastated particularly now being in isolation and not being able to use the kindle when it's been needed most. There is no clear way on how to return it or have a refund or who to contact on my amazon account. Very dissatisfied.
vanessa foulkes,5.0 out of 5 stars,Love it,Reviewed in the United Kingdom on 15 April 2020,"Love this so much. I was wondering if to get one or not  as I love reading a book, so decided I would try  . never looked back great item .. I struggle with the brightness of natural light or sunlight so always find it hard to read in sunlight but with this there’s no need to worry or struggle.. when in the sun it’s great no glare nothing. so light so can have it with your where ever you go..  Easy to useI love it I would definitely recommend"
T_London,2.0 out of 5 stars,Does not allow you to retrieve highlights made in books not purchased through Amazon.,Reviewed in the United Kingdom on 7 April 2020,"I was happy with my kindle until I could not download the notes and highlights I made to a book simply because I did not purchase it directly from Amazon.I purchased three e-books from a publisher, downloaded them as Kindle content (mobi) and sent them to myself by email. So far, so good! I read one of the books, made annotations to it, etc. Then, when I tried to send the notes to myself, there was no option to do so. I then visited the 'read' webpage on Amazon and could not find the books. After much research, I saw that Amazon categorises them as 'docs' rather than 'books' and I could only seen them in the 'device and content' webpage. The problem with this categorisation is that you don't have the same choices as you would if you had bought the books from Amazon. What a monopoly! This is infuriating! I then tried to connect the Kindle to my new PC! No success! My computer didn't even register that it was plugged. I looked online, tried in three different countries (PCs and a Mac) and with three different leads (I first tried with the one that came with the Kindle). Again, no success! I noticed, while I was looking for info on line, that lots of people are having the same issues when trying to connect their kindle to a computer. It seems that this is a problem that has been going on for a good while but nothing is being done by Amazon to fix it."
Frugal Dougal,3.0 out of 5 stars,Wouldn’t charge.,Reviewed in the United Kingdom on 11 June 2019,"First off, my new kindle will not charge.  It arrived on 49% and having run that down to about 20% I decided to recharge it.  Unfortunately it won,t.  Consequently, I am returning this for a replacement.I have had an older model of Kindle since about 2009 and felt that it was a great piece of kit.  My wife bought me this as a present.  Unfortunately, I find that the touch screen is way too sensitive and you only need brush it with a finger and it changes page.  However, the border surrounding the screen seems to be much smaller than my older kindle which means I end up inadvertently touching the screen way too often.Lastly, due to the March of technology for things to be smaller and lighter, this newer kindle lacks any weight to it, much lighter than my older Kindle.  When holding it it’s almost as if there is nothing in your hand.  Some people may like that, I found that as a replacement for a book, an ebook, it should retain some trace of the heft of a book, even if only for the nostalgics."
laura,5.0 out of 5 stars,Waterproof,Reviewed in the United Kingdom on 1 December 2018,"I am still very sad at the loss of my original kindle by accidentally putting it in the washing machine.  This new one is waterproof and possibly would have survived as it was just the first 10 mins of a handwash cycle.  Since I'm stupid enough to regularly do that sort of thing I'm hoping this one will live for longer.  It's heavier and a slightly smaller screen than the original but the light has already been handy on a dark winter train journey and reading in the dark while my baby goes to sleep.  I loved my original kindle and this one has exactly the same features.  I've not really noticed any other increases so it does seem expensive for a light, but the waterproofing will hopefully save it in the next disaster so will be worth it."
Rigsby,1.0 out of 5 stars,Good whilst it worked but it has failed within 12 months of purchase,Reviewed in the United Kingdom on 28 October 2019,"I took delivery of the kindle paper white on 21st November 2018. Up until now it has been fine and worked well but it has now developed a battery fault. The battery will not hold charge. I charged it to 100% and disconnected the charger at 8am this morning and with wi-fi switched off and the kindle in sleep mode all day, the battery was at 11% charge by 5pm.This fault is now persistent as it is the fourth consecutive time that this has happened. An e-reader with a battery life of 9 hours is no good to me."
Heather,1.0 out of 5 stars,waste of money,Reviewed in the United Kingdom on 31 March 2020,"My husband bought this for me as a Christmas  present to take on holidays. When I first got it I had trouble charging it. The problem has been constant every time I have picked it up to read it has always had a dead battery. It has now reached the point where it won't charge at all, so as you can see I won't give it any star rating. I have also not been able to get a case to fit the kindle. I want to return this item and recieve my husbands money back. I have not found a way to return this item."
GuitarmanAlan,5.0 out of 5 stars,This new Kindle is Brilliant!,Reviewed in the United Kingdom on 27 December 2018,"As you may expect I use my Kindle to read e-books! It is much better to use than my old one with easier settings for font size, the ability to check the time with a simple tap on the top of the screen, where other functions and settings can be found.Being an avid night time reader, the back light is perfect for myself as it allows me to read in the dark, thus not disturbing my wife, the touch screen also doesn't click as the older one does.The only problem I have, and I suspect it is because I have unusually dry skin on my hands, is that on occasion, the page fails to turn at the first attempt.Throughly recommended!"
Angela Dixon,3.0 out of 5 stars,Disappointed,Reviewed in the United Kingdom on 31 October 2020,"This is the first Kindle ive ever bought, ive had the app on my phone for a good  few years and have enjoyed using it.  Thats why i was really surprised that everything on my new Kindle is in black and  white.  Obviously im not talking about the text, but the book covers in my library.  Im used to them being in colour, which they are im the app, makes the whole  thing look really drab.  Its like going back to my childhood when we had a black and  white TV.  Why aren’t they in colour Amazon?"
Mr Michael Robbins,5.0 out of 5 stars,Very touch senesitive,Reviewed in the United Kingdom on 29 November 2018,"This is a good replacement for my original Paperwhite. It appears to have a longer battery life as it 'wakes up' when you open the cover. It is slightly thinner than the original and the screen is just as bright with what appears to be a brighter higher setting. My only 'concern' if you can call it that, is that the touch screen seems to be more sensitive and when holding the kindle it is easy to select previous or next page by inadvertently touching the screen. Overall I have given it 5 stars  as I can down load lots of books and it comes with on my journeys around the world. (it has also downloaded my entire library from my previous paperwhite.) Great device."
Andrew B-Smith,3.0 out of 5 stars,Great Product - shame about the help font size,Reviewed in the United Kingdom on 29 November 2018,"My wife's sight is deteriorating rapidly due to diabetic macular oedema.After using my Kindle with an enlarged font size,  we agreed that this would help her continue to read her Bible in particular.  However, as we set up her new Kindle, we realised that the various help pop-up messages are not in an enlarged font even though the font has been set for a larger size. Please can Amazon consider how they can overcome this drawback.The kindle itself was easy to set up and I had it running for her within a few minutes (shipping with a battery that has already been charged is a real plus - well done!)Finally, an irritant. Amazon sell Kindles without ads for an extra £10, so charge £10 if you upgrade a standard Kindle to a ""no ads"" version. However, if you switch a ""no ads"" Kindle to an ads version, Amazon does not refund you the extra £10. So it's heads they win, tails we lose. It would be fairer that anyone who decides that they want ads after all should have the extra £10 refunded IN THE INTERESTS OF FAIRNESS."
Litcrit.,5.0 out of 5 stars,The kindle is very useful if you travel on public transport regularly.,Reviewed in the United Kingdom on 11 August 2019,"This is my second Kindle. I like to use it when travelling as I can keep it in my bag & it doesn’t take up lots of space or when being used in public - on the train.It is an efficient way of keeping g up with books you want to read but space saving & very easy to order in new titles & samples, which is an excellent way to browse before buying books.I am hoping the battery will be more efficient than the first version which needed very regular boosting.The print sizes & fonts give plenty of options. I really am pleased to have a new one to rely on."
A. Hadley,5.0 out of 5 stars,Lightweight and excellent value.,Reviewed in the United Kingdom on 7 July 2020,"I was devastated, when my Paper white developed a hardware fault, which was, irreparable. By coincidence I had received an email about the latest version. Having had a consultation with a very helpful advisor who provided me with a 15% discount to replace my existing Kindle, I ordered the new version and am extremely pleased that I did. All my content was, available and it even picked up on the location in my current book."
LD,5.0 out of 5 stars,Glad I repurchased newer model!,Reviewed in the United Kingdom on 19 September 2019,"Love it! I previously had an old model who’s battery started dying too quickly so gave in and bought a new one. It’s definitely improved, a bit smaller (so old case didn’t fit) but feels lighter and I love the smooth front. With the older model bits of dirt would get caught between the edge of screen and frame so none of that now. I have the version with ads, doesn’t bother me at all, when I’m not using it I’m not looking at it! That’s the only time they’re there, when my case is closed. And the battery is great, I read for at least an hour most days, it’s going down roughly 20% per week. That’s with backlight off as I only really read during the day. All round, definitely glad I repurchased!Update - 7 weeks exactly since received and 1st 100% charged, not charged once since, still reading pretty much every day, now often with backlight on when inside due to the weather, it’s at 15% charge. DLd several books too if that makes a diff, otherwise always on aeroplane mode. Couldn’t be more impressed with the battery and performance!! Well done Amazon! I’m going to keep going to almost zero then charge it. I’ve read batteries have a sort of ‘capacity memory’ so best to let them drain fully rather than always topping to 100."
gilltotherescue,4.0 out of 5 stars,Good and not so good.,Reviewed in the United Kingdom on 21 September 2019,"I like the lightness of the Kindle but not keen on only being able to hold it around the outside. My fingers have strayed and changed pages many times now. Preferred my old kindle for turning pages, not keen on swiping or tapping especially if I am holding it in one hand. Also on my old Kindle I was able via the menu to view my archived books, about 25 pages, but now I cannot find them. That was handy to view which authors I have read before I buy another book. The backlight is very good for reading at night without disturbing anyone else though."
DeficitDora,5.0 out of 5 stars,"Excellent! Lightweight, comfy in the hand and simple to use.",Reviewed in the United Kingdom on 8 July 2019,"This was a birthday present to me, and I am completely enamoured of it! It does everything I need it to do and it is simple and intuitive to use. The built in light is great for night time reading, and it doesn't disturb the person next to you in bed. The best thing, though, is it's so light and fits in my hand without any discomfort after a long reading session. I'm a bit late to the world of kindles, although I've used the app on my iPad, and I'm certainly not ready to ditch physical books. But this is going to save a shed load of trees! Love it."
Droigheann,1.0 out of 5 stars,Ads which can't be got rid of,Reviewed in the United Kingdom on 16 November 2020,"Bought it to replace my aging Kindle Voyage. It won't until that one dies. First, they wouldn't deliver it to a country with no Amazon store (had to use another e-commerce store as a sort of broker). I have it now and so far the only difference between this and the Voyage seems to be that on the Home screen you don't get 8 titles from your library per page but 7, because the bottom is occupied by an obtrusive advert banner that apparently can't be got rid of. Not to mention that ads also appear as screensavers. Summary: great disappointment."
Paul,5.0 out of 5 stars,Small significant improvements,Reviewed in the United Kingdom on 16 June 2019,"From my last Kindle there are significant improvements, especially around the waterproofing. This mean baths, rainy bus stops, and beside swimming pools are all places I'll not be stressing out instead of relaxing!My only real grumble is that i wonder if kindles have a built in obsolescence; this is my third Kindle over which I've read about 45 books. so at around 22 books per kindle its costing me around £4 a book for the privilege/convenience of using the kindle over a real book - not really economical even if digital copies tend to cost a little less."
acquirer,2.0 out of 5 stars,Bought this to rplace one which I bought 2 years ago.,Reviewed in the United Kingdom on 8 January 2021,"I cannot understand how different this one is.Why is it dull and dingy? It is tiring on the eyes to read it for more than a few minutes. The text is greyish and the light is dull. I am using it on the charge with which it came, and there might be an improvement when it is time for a new charge? BUT how is it possible to ask anyone at Amazon this question? With the small charge left in the previous one, the difference is so very distinct.DJH"
McNally,5.0 out of 5 stars,We'll worth the investment.,Reviewed in the United Kingdom on 28 September 2019,"Resisted buying a Kindle as a big physical book buyer but this is great. I do a lot of business travel and books rarely survived the flights etc without creasing or scuffs. I tend to buy stuff I'd never really keep on the shelves. Airport stuff, fast food equivalent reading matter and this is perfect. I won't give up physical books but this is a great add on. The Kindle itself isn't perfect. I'd like colour covers and a more intuitive OS - the web search is pretty poor - but it is worth pulling the trigger on a Black Friday. No regrets and actually reading far more than previously so clear value on that score alone."
Lelia,3.0 out of 5 stars,Light to hold but fiddly sometimes,Reviewed in the United Kingdom on 3 September 2020,Really enjoyed this product it was light and easy at night to read which I did most nights and daytime. Its a bit fiddly getting the right font size on this and highlighting sentences but all in all it has been a great thing to read books on. But I bough this product just over a year ago now and sadly it has completely died so no chance of a refund or replacement. Also I did get this on a good promotion 79.99 so I'm gutted right now I can't afford to replace it at this moment in time due it being the pandemic and money is tight. Ah well it was nice while it lasted.
Anna,5.0 out of 5 stars,The world's my oyster!,Reviewed in the United Kingdom on 4 September 2020,"Absolutely delighted with my Kindle. Wish I'd taken the plunge years ago. As an avid reader and lover of books, I can now afford to try out lots more at reasonable cost and no fear of being crowded out of my house by bookshelves! The initial outlay was worth every penny. The quality is good, the size just right, and so convenient. And I can go exploring and pop another title in whenever I see one! Wow. What's not to like?"
mrose,3.0 out of 5 stars,Complicated,Reviewed in the United Kingdom on 13 October 2020,"I had an old side button reader and I loved it simple straight forward. I changed as the battery was not lasting. I find this one is temperamental touch screen jumps about if you are not completely lined up and it is difficult to use left handed as it always turns back in stead of forward, it is too fussy and complicated for a reader"
Aron A.,5.0 out of 5 stars,A near perfect product,Reviewed in the United Kingdom on 10 April 2020,"I have to say that my last kindle lasted for about three years before I looked at upgrading and I am really glad that I did! It’s everything that you can possibly want from a kindle but also they seem to have fixed some of the issues that plagued the previous models (slow loading times, bad touchscreen). I would highly recommend this product. We all know the benefits of having a kindle are by now so I won’t list them but this model does all of that and more."
Chris Taylor,3.0 out of 5 stars,Battery life is a problem on this product,Reviewed in the United Kingdom on 21 October 2019,Despite the claims of longevity the battery kept running out every week without me hardly using the product and without the back light being on very bright at all. Having visited several forums there were a lot of discussions about this problem. The discussion centred on wifi on off and airplane mode on and off. Some said it made no difference and some did. It does. I switched airplane mode off and now the battery lasts weeks. This is a ridiculous problem and completely spoils and otherwise good product.
MissBlade,5.0 out of 5 stars,Sublime.,Reviewed in the United Kingdom on 13 January 2020,Great battery.Flush screen.Water resistantVery light and perfect for my handbag.Kindle store has plenty of deals.I also download books from elsewhere and install. I use the calibre app to make the format suitable - it's very easy.
A Paul,4.0 out of 5 stars,Stupid power button placement. Otherwise good.,Reviewed in the United Kingdom on 5 June 2019,Great e reader. Questionable build quality as I've had one randomly die on me whilst at an airport when I really needed it. Thankfully Amazon have a good replacement policy. Second has been fine so far. One thing that is just stupid is the placement of the power button. It sits right where it is comfortable to hold with your right hand so you end up accidently pressing it while reading all the time causing it to lock. How did the designers not think of that? Put it on the top or make it a toggle switch like on a kobo. Other than that the device works great.
Leftover Stu,4.0 out of 5 stars,This is no miracle product but...,Reviewed in the United Kingdom on 15 August 2019,"... it does what it is supposed to do. I'm finding pairing with Bose mini speaker or bluetooth earphones to be particularly frustrating and a bit hit and miss. I expected better. Once the minefield of purchasing books / audiobooks, and avoiding ending up with two copies of the same book, is achieved it is convenient and compact. Does it Perform any better than your iPhone and Kindle app? Not that I've found yet but it's early days. As an occasional reader, would I buy it again? Perhaps, probably not. Concentrate on the already established Ios version and save the money if you already have the iphone or ipad."
